Adamax,Nadam,SGD,RMSProp,Adam,Adagrad,Adadelta,Proposed
0.7979,0.8091,0.8055,0.7832,0.7925,0.7829,0.7837,0.7821
0.7966,0.8047,0.8040,0.7832,0.7920,0.7827,0.7833,0.7820
0.7957,0.8017,0.8031,0.7836,0.7914,0.7826,0.7832,0.7819
0.7949,0.7997,0.8023,0.7839,0.7909,0.7825,0.7832,0.7818
0.7941,0.7980,0.8016,0.7841,0.7904,0.7824,0.7831,0.7818
0.7936,0.7970,0.8010,0.8176,0.7900,0.7823,0.7831,0.7818
0.7931,0.7959,0.8006,0.8159,0.7895,0.7823,0.7831,0.7817
0.7927,0.7949,0.7999,0.8143,0.7895,0.7822,0.7831,0.7817
0.7924,0.7939,0.7996,0.8127,0.7891,0.7822,0.7830,0.7816
0.7920,0.7934,0.7990,0.8117,0.7886,0.7821,0.7830,0.7816